stand_id,stand_name,location
1255,Snake (unidentified),Becker
1256,"Swan, black",Wayridge
1257,"Sandpiper, spotted wood",Summer Ridge
1258,"Parakeet, rose-ringed",Grasskamp
1259,Tailless tenrec,Blaine
1260,"Iguana, common green",Rutledge
1261,Long-necked turtle,Old Shore
1262,"Boubou, southern",Harper
1263,"Kangaroo, brush-tailed rat",Esch
1264,Southern lapwing,Bowman
1265,Four-spotted skimmer,Lotheville
1266,"Trumpeter, dark-winged",Loomis
1267,"Pie, indian tree",Amoth
1268,"Squirrel, indian giant",Hudson
1269,"Cat, european wild",Harbort
1270,White-winged tern,Washington
1271,Magellanic penguin,Blackbird
1272,Two-banded monitor,Northwestern
1273,Turkey vulture,8th
1274,Ovenbird,Anniversary
1275,"Skunk, striped",Express
1276,Blue and yellow macaw,Straubel
1277,Hanuman langur,Holy Cross
1278,"Magpie, black-backed",Esch
1279,"Boa, mexican",Anthes
1280,Cape fox,Lighthouse Bay
1281,"Eland, common",Eggendart
1282,"Insect, stick",Prairieview
1283,Baleen whale,Schurz
1284,White-tailed jackrabbit,Buhler
1285,"Turtle, snake-necked",Miller
1286,Bahama pintail,Blue Bill Park
1287,"Monitor, white-throated",Hayes
1288,"Deer, roe",Vermont
1289,"Skink, african",Brentwood
1290,Egyptian goose,Bluestem
1291,"Possum, common brushtail",Reinke
1292,Azara's zorro,Melody
1293,Crested screamer,Prairieview
1294,Ovenbird,Dawn
1295,"Boa, cook's tree",Westridge
1296,Tammar wallaby,Tennyson
1297,Red brocket,Marcy
1298,Long-tailed spotted cat,Swallow
1299,"Eagle, golden",Katie
1300,"Duiker, common",6th
1301,Green-winged trumpeter,Kim
1302,"Hoopoe, eurasian",Lawn
1303,Silver-backed jackal,Ilene
1304,Cheetah,Charing Cross
1305,Little brown bat,Morningstar
1306,Stanley crane,Fairfield
1307,Gambel's quail,Village
1308,"Turaco, violet-crested",1st
1309,Onager,1st
1310,Indian leopard,Dennis
1311,"Crane, wattled",Moose
1312,"Cormorant, large",Kedzie
1313,Nilgai,Harbort
1314,"Kangaroo, black-faced",Mosinee
1315,Hudsonian godwit,Transport
1316,"Corella, long-billed",Lakewood
1317,"Otter, giant",Hoffman
1318,Tayra,Tennessee
1319,Hyrax,Marcy
1320,"Macaw, blue and yellow",Columbus
1321,"Waxbill, black-cheeked",Prentice
1322,"Blackbird, red-winged",Bultman
1323,Azara's zorro,American Ash
1324,Common pheasant,Sunbrook
1325,"Hedgehog, south african",Rigney
1326,Galapagos mockingbird,Paget
1327,"Seal, common",Northport
1328,"Skink, blue-tongued",Vermont
1329,Cape fox,Lakewood
1330,"Magpie, black-backed",Old Shore
1331,"Deer, black-tailed",Goodland
1332,Springbuck,Portage
1333,Kongoni,Kipling
1334,"Booby, masked",Butterfield
1335,American Virginia opossum,Village Green
1336,"Ox, musk",Grover
1337,"Crane, black-crowned",Huxley
1338,Steenbuck,Green Ridge
1339,"Phalarope, grey",Wayridge
1340,"Weaver, white-browed sparrow",Rowland
1341,Red-billed toucan,Thierer
1342,Snake (unidentified),Hayes
1343,Neotropic cormorant,Pierstorff
1344,"Meerkat, red",Elgar
1345,"Phalarope, red-necked",Messerschmidt
1346,"Albatross, waved",Bellgrove
1347,"Zorro, common",Spohn
1348,Western pygmy possum,Dottie
1349,"Pheasant, common",Oakridge
1350,White rhinoceros,Lyons
1351,Red phalarope,Vermont
1352,Superb starling,Ohio
1353,Sage grouse,Cody
1354,"Duck, blue",Arizona
1355,King vulture,Kenwood
1356,Canadian river otter,Westend
1357,"Bear, american black",Brown
1358,Spotted-tailed quoll,Sycamore
1359,"Cockatoo, long-billed",Vernon
1360,"Bleu, red-cheeked cordon",Dorton
1361,"Insect, stick",Morningstar
1362,Long-billed cockatoo,Riverside
1363,Yellow baboon,Daystar
1364,"Rattlesnake, dusky",Mitchell
1365,"Siskin, yellow-rumped",Carioca
1366,Field flicker,International
1367,"Waterbuck, defassa",Kennedy
1368,White-necked stork,Iowa
1369,Long-finned pilot whale,Moland
1370,"Eagle, white-bellied sea",Grasskamp
1371,Malachite kingfisher,Stoughton
1372,American crow,Calypso
1373,Ibex,Division
1374,"Penguin, galapagos",Montana
1375,"Bird, pied butcher",Hudson
1376,Purple grenadier,Del Sol
1377,Darwin ground finch (unidentified),Anderson
1378,"Macaque, rhesus",Larry
1379,"Cormorant, king",Twin Pines
1380,"Goose, canada",Pepper Wood
1381,"Mongoose, eastern dwarf",Oneill
1382,Scottish highland cow,Bunker Hill
1383,"Rhea, common",Donald
1384,"Crab, sally lightfoot",Green Ridge
1385,Common duiker,Colorado
1386,Sea birds (unidentified),Magdeline
1387,"Cat, european wild",Fairfield
1388,Crested screamer,Beilfuss
1389,"Goldeneye, common",Wayridge
1390,"Albatross, waved",Fulton
1391,Cape wild cat,Moulton
1392,Chameleon (unidentified),Independence
1393,"Siskin, yellow-rumped",Summerview
1394,"Lion, mountain",Raven
1395,"Pigeon, wood",Ridgeway
1396,"Hoopoe, eurasian",Northland
1397,Indian star tortoise,Sugar
1398,"Kingfisher, white-throated",Forest Run
1399,African porcupine,Scott
1400,Kaffir cat,Sheridan
1401,Bleeding heart monkey,Moulton
1402,Bleeding heart monkey,Sycamore
1403,Giant anteater,Corben
1404,"Lizard, mexican beaded",Thackeray
1405,Tarantula,6th
1406,"Tapir, brazilian",Beilfuss
1407,"Duck, comb",Quincy
1408,"Civet, common palm",Center
1409,Openbill stork,Packers
1410,"Stork, saddle-billed",6th
1411,"Bear, black",Riverside
1412,Squirrel glider,Vidon
1413,Crab (unidentified),Fulton
1414,Horned puffin,Forest Run
1415,"Monkey, bleeding heart",Superior
1416,Capybara,Bunker Hill
1417,"Hyena, striped",Dovetail
1418,Yellow-crowned night heron,Briar Crest
1419,"Bandicoot, long-nosed",Maple
1420,"Whale, killer",Dahle
1421,"Legaan, ground",Merry
1422,"Beaver, european",Hayes
1423,Scaly-breasted lorikeet,Vernon
1424,Herring gull,Division
1425,"Wolf, mexican",Quincy
1426,"Goose, knob-nosed",Goodland
1427,"Squirrel, grey-footed",Manufacturers
1428,Bengal vulture,3rd
1429,Bush dog,Hudson
1430,"Heron, yellow-crowned night",Forest
1431,"Deer, barasingha",Alpine
1432,Lesser masked weaver,Gerald
1433,Giant heron,Bellgrove
1434,"Bulbul, black-eyed",Shasta
1435,Grey phalarope,Park Meadow
1436,Tsessebe,Dixon
1437,White-throated monitor,Rutledge
1438,Yellow-bellied marmot,Eastlawn
1439,Euro wallaby,Eliot
1440,Australian masked owl,Arizona
1441,Black bear,5th
1442,Common melba finch,Rieder
1443,"Fox, north american red",Jenifer
1444,Stone sheep,Erie
1445,Bonnet macaque,La Follette
1446,"Rattlesnake, horned",Anzinger
1447,Scaly-breasted lorikeet,Stoughton
1448,"Goose, canada",Meadow Vale
1449,Australian spiny anteater,Cambridge
1450,"Weaver, chestnut",Prairieview
1451,Spotted deer,Service
1452,Eastern box turtle,Dryden
1453,Northern phalarope,Red Cloud
1454,Least chipmunk,Fieldstone
1455,"Grouse, greater sage",Coolidge
1456,Asian openbill,Acker
1457,Waved albatross,Dakota
1458,"Kangaroo, red",Drewry
1459,"Kiskadee, great",Annamark
1460,"Stork, black-necked",Nelson
1461,"Flamingo, lesser",Blaine
1462,"Ibis, puna",Armistice
1463,White-nosed coatimundi,Ludington
1464,"Gecko, bent-toed",Fordem
1465,Mountain goat,Trailsway
1466,"Porcupine, north american",Amoth
1467,"Roller, lilac-breasted",Ramsey
1468,White-tailed deer,International
1469,Scarlet macaw,Westridge
1470,"Hawk-eagle, crowned",Vernon
1471,"Hare, arctic",Mosinee
1472,"Woodcock, american",Southridge
1473,"Armadillo, giant",Jackson
1474,"Magpie, australian",Redwing
1475,"Snake, eastern indigo",John Wall
1476,Giant heron,Longview
1477,Musk ox,Darwin
1478,Levaillant's barbet,Melrose
1479,Water monitor,Sunbrook
1480,Kirk's dik dik,David
1481,Gerenuk,Lighthouse Bay
1482,"Squirrel, nelson ground",Logan
1483,Mississippi alligator,Menomonie
1484,Horned lark,Luster
1485,Black-capped capuchin,Arizona
1486,Common mynah,Karstens
1487,"Antelope, four-horned",Blue Bill Park
1488,Red-legged pademelon,Haas
1489,"Fox, asian red",Kim
1490,"Dragon, frilled",Nevada
1491,Crimson-breasted shrike,Upham
1492,"Pelican, great white",Talisman
1493,Knob-nosed goose,Manitowish
1494,"Penguin, magellanic",Corben
1495,African wild cat,Sommers
1496,"Antelope, four-horned",Union
1497,Emerald green tree boa,Weeping Birch
1498,Western bearded dragon,Dahle
1499,Black-tailed deer,Truax
1500,Giant girdled lizard,Mockingbird
1501,"Hartebeest, red",Blackbird
1502,"Hartebeest, coke's",Troy
1503,Brush-tailed phascogale,Moulton
1504,"Otter, african clawless",Russell
1505,Striped hyena,Arapahoe
1506,"Gull, herring",Carioca
1507,"Elephant, african",Columbus
1508,Snowy owl,Bultman
1509,"Bee-eater, white-fronted",Parkside
1510,Scottish highland cow,Redwing
1511,"Kangaroo, red",Pierstorff
1512,Dusky gull,Crest Line
1513,"Vulture, lappet-faced",Iowa
1514,"Bison, american",Spenser
1515,"Crow, pied",Cambridge
1516,Burrowing owl,Muir
1517,Pine siskin,Rigney
1518,"Wallaby, whip-tailed",Coolidge
1519,"Dove, mourning collared",Clyde Gallagher
1520,Capybara,Brickson Park
1521,Tarantula,Lerdahl
1522,"Zebra, common",Carberry
1523,"Swan, trumpeter",Kinsman
1524,"Antelope, roan",Bultman
1525,"Macaque, pig-tailed",Thackeray
1526,"Bee-eater, nubian",Clemons
1527,Blackbuck,Springview
1528,"Tortoise, asian foreset",Waxwing
1529,"Butterfly, canadian tiger swallowtail",Ryan
1530,"Waterbuck, defassa",Montana
1531,North American red fox,Tennessee
1532,Long-crested hawk eagle,Mcbride
1533,Small-spotted genet,Trailsway
1534,"Coatimundi, white-nosed",Westerfield
1535,"Oystercatcher, blackish",Union
1536,Guanaco,Pine View
1537,Striped hyena,Summit
1538,"Kiskadee, great",Maple Wood
1539,Arctic lemming,Prairieview
1540,"Stork, white",Amoth
1541,"Cat, tiger",Memorial
1542,"Wapiti, elk,",North
1543,"Dolphin, common",Transport
1544,"Sloth, hoffman's",Petterle
1545,Verreaux's sifaka,Kenwood
1546,Swallow (unidentified),Monica
1547,"Crane, black-crowned",Spohn
1548,Bush dog,Sheridan
1549,"Turkey, australian brush",Pond
1550,"Boa, cook's tree",Scoville
1551,"Quail, gambel's",Burrows
1552,"Dove, galapagos",Westridge
1553,Roe deer,Warrior
1554,"Weaver, white-browed sparrow",Warner
1555,"Monster, gila",Harbort
1556,Boat-billed heron,Briar Crest
1557,"Squirrel, pine",Sugar
1558,"Fowl, helmeted guinea",Pawling
1559,Scaly-breasted lorikeet,Sachtjen
1560,"Goldeneye, common",Crownhardt
1561,Tokay gecko,Ridgeview
1562,"Trotter, lily",Mariners Cove
1563,"Stork, openbill",Mcguire
1564,Masked booby,Lakewood
1565,Great kiskadee,Oriole
1566,"Cat, cape wild",Park Meadow
1567,"Rhea, greater",Redwing
1568,"Cardinal, red-capped",Fair Oaks
1569,American badger,Charing Cross
1570,"Wombat, southern hairy-nosed",Cherokee
1571,Manatee,Stone Corner
1572,"Sloth, pale-throated three-toed",Burrows
1573,Fringe-eared oryx,Pearson
1574,Civet (unidentified),Stone Corner
1575,"Egret, cattle",American Ash
1576,"Penguin, magellanic",Arkansas
1577,"Penguin, magellanic",Holmberg
1578,Galapagos penguin,Rockefeller
1579,Brindled gnu,Forest
1580,"Whale, baleen",Shasta
1581,"Booby, masked",Crescent Oaks
1582,"Kangaroo, black-faced",Union
1583,Gambel's quail,Arkansas
1584,Pine squirrel,Melrose
1585,Blue-footed booby,Eliot
1586,Pine snake (unidentified),Trailsway
1587,"Eagle, golden",Clarendon
1588,Blue and gold macaw,Florence
1589,"Stork, saddle-billed",South
1590,Richardson's ground squirrel,Pond
1591,Eastern dwarf mongoose,Hoard
1592,"Screamer, southern",Evergreen
1593,"Marshbird, brown and yellow",Aberg
1594,"Racer, american",Prairieview
1595,Groundhog,Sullivan
1596,"Fox, cape",Everett
1597,"Mynah, indian",Maple
1598,Grey mouse lemur,Starling
1599,Capybara,Ruskin
1600,Cormorant (unidentified),Talisman
1601,"Jackal, black-backed",Pawling
1602,Brown capuchin,Del Sol
1603,"Plover, three-banded",Truax
1604,"Seal, southern elephant",Village
1605,Agama lizard (unidentified),Dayton
1606,"Deer, spotted",Hagan
1607,Stone sheep,Vera
1608,Chilean flamingo,Dixon
1609,Asian false vampire bat,Barby
1610,White-headed vulture,Erie
1611,White-necked raven,1st
1612,Long-tailed spotted cat,Loeprich
1613,Nelson ground squirrel,Glacier Hill
1614,Bontebok,Debra
1615,White-faced whistling duck,Londonderry
1616,Greylag goose,Johnson
1617,Marine iguana,Artisan
1618,"Pheasant, common",Butterfield
1619,"Seal, northern elephant",Clyde Gallagher
1620,"Dolphin, striped",Pepper Wood
1621,"Lizard, goanna",Kensington
1622,"Bat, madagascar fruit",Westerfield
1623,Black curlew,Dwight
1624,Pine siskin,Beilfuss
1625,Barrows goldeneye,Crest Line
1626,"Fox, cape",Darwin
1627,Flying fox (unidentified),Dexter
1628,Eastern white pelican,Springview
1629,Asian foreset tortoise,Paget
1630,Sportive lemur,Superior
1631,"Penguin, little blue",Ohio
1632,Black kite,Morning
1633,"Zebra, plains",Burrows
1634,"Otter, oriental short-clawed",Prairieview
1635,Red deer,Saint Paul
1636,"Genet, small-spotted",Algoma
1637,"Roller, lilac-breasted",Bobwhite
1638,European spoonbill,Drewry
1639,Desert kangaroo rat,Farmco
1640,"Bear, grizzly",North
1641,"Starling, cape",Pine View
1642,"Otter, oriental short-clawed",Melby
1643,Defassa waterbuck,Thierer
1644,Defassa waterbuck,Manley
1645,Silver-backed fox,Moose
1646,"Oryx, beisa",Duke
1647,American woodcock,Utah
1648,Ground monitor (unidentified),Springs
1649,Blue and yellow macaw,New Castle
1650,Laughing dove,Lakewood
1651,"Stork, woolly-necked",Spaight
1652,"Cat, toddy",Spaight
1653,Gaur,Del Mar
1654,Turkey vulture,Emmet
1655,"Pelican, great white",Karstens
1656,"Owl, great horned",Morningstar
1657,"Otter, canadian river",Crownhardt
1658,"Marten, american",Mayer
1659,Eurasian red squirrel,Montana
1660,"Duck, blue",Clyde Gallagher
1661,Hoary marmot,Vidon
1662,Ring dove,Manitowish
1663,"Monkey, bleeding heart",Grasskamp
1664,Chestnut weaver,Oak Valley
1665,"Sandgrouse, yellow-throated",Old Gate
1666,"Duck, comb",Corry
1667,"Tern, white-winged black",Carpenter
1668,Tropical buckeye butterfly,Trailsway
1669,Red-breasted cockatoo,Talmadge
1670,"Alligator, mississippi",Bartillon
1671,Black-capped capuchin,Nelson
1672,"Stork, white",Lighthouse Bay
1673,Paca,Anzinger
1674,Egyptian goose,Nevada
1675,Banded mongoose,Vermont
1676,"Vulture, bengal",Farmco
1677,"Lemming, arctic",Golden Leaf
1678,"Starling, greater blue-eared",Shopko
1679,Nubian bee-eater,Buell
1680,Large-eared bushbaby,Green Ridge
1681,Alpaca,Center
1682,White-throated toucan,Kings
1683,"Bear, american black",Victoria
1684,"Mouse, four-striped grass",Sherman
1685,"Gazelle, grant's",Menomonie
1686,Crab-eating raccoon,Talisman
1687,Common ringtail,Maple Wood
1688,Blue fox,Service
1689,"Lizard, frilled",Eastwood
1690,"Kangaroo, black-faced",Elgar
1691,"Beaver, european",Bluestem
1692,Black kite,Melody
1693,"Elephant, asian",Dennis
1694,"Porcupine, african",Macpherson
1695,Verreaux's sifaka,Esch
1696,"Turkey, australian brush",Kensington
1697,Glossy ibis,Farwell
1698,"Badger, honey",Northport
1699,Common raccoon,Algoma
1700,"Hawk, ferruginous",Sullivan
1701,"Echidna, short-beaked",Florence
1702,"Bustard, denham's",Ridge Oak
1703,"Sloth, two-toed",Monica
1704,Dassie,Cordelia
1705,Pacific gull,High Crossing
1706,South American meadowlark (unidentified),Texas
1707,Western spotted skunk,Schiller
1708,Bontebok,Valley Edge
1709,Feathertail glider,Kensington
1710,Southern elephant seal,Fallview
1711,Ibex,Kedzie
1712,"Cat, cape wild",Fisk
1713,"Dolphin, striped",Kenwood
1714,Eagle owl (unidentified),Amoth
1715,Great cormorant,Namekagon
1716,Malay squirrel (unidentified),Westridge
1717,Greylag goose,Raven
1718,Galah,Ronald Regan
1719,"Phalarope, northern",Dwight
1720,Western lowland gorilla,Westerfield
1721,"Salmon, sockeye",Spohn
1722,Guanaco,Sutherland
1723,"Francolin, coqui",Ridgeview
1724,Hanuman langur,Westerfield
1725,"Kangaroo, brush-tailed rat",Truax
1726,Cape wild cat,Commercial
1727,"Starling, red-shouldered glossy",Morrow
1728,White-winged tern,Calypso
1729,"Turtle, snake-necked",Lakewood
1730,Southern sea lion,Schmedeman
1731,"Cobra, egyptian",Debs
1732,Mexican wolf,Packers
1733,"Lion, southern sea",Milwaukee
1734,Green heron,Eagle Crest
1735,"Penguin, magellanic",Talmadge
1736,Red-breasted nuthatch,Colorado
1737,"Albatross, galapagos",Hoepker
1738,Pine siskin,Lakeland
1739,"Lemming, arctic",Charing Cross
1740,"Snake, eastern indigo",Bonner
1741,Common turkey,Karstens
1742,Moose,Clove
1743,"Toucan, red-billed",Maple Wood
1744,Horned rattlesnake,Anniversary
1745,Plains zebra,Nobel
1746,Campo flicker,Sundown
1747,"Baboon, savanna",Old Gate
1748,Mexican boa,Scoville
1749,"Eagle, white-bellied sea",Meadow Valley
1750,Paradoxure,Gale
1751,Crowned eagle,Center
1752,Red lava crab,Reinke
1753,"Duck, mountain",Prairieview
1754,"Hornbill, southern ground",Mendota
1755,Black-footed ferret,Farragut
1756,Crab-eating raccoon,Reindahl
1757,"Weaver, white-browed sparrow",North
1758,"Starling, greater blue-eared",Service
1759,"Cat, ringtail",Vernon
1760,"Gull, swallow-tail",Redwing
1761,Black-backed magpie,Carpenter
1762,Brazilian otter,Porter
1763,"Phascogale, red-tailed",Boyd
1764,Azara's zorro,Summit
1765,Great skua,Anderson
1766,Darwin ground finch (unidentified),Porter
1767,Mexican boa,Kennedy
1768,"Kangaroo, black-faced",Butterfield
1769,Mudskipper (unidentified),Kinsman
1770,"Teal, hottentot",Grim
1771,Saddle-billed stork,Ohio
1772,African bush squirrel,Sutherland
1773,Trumpeter swan,Thompson
1774,African ground squirrel (unidentified),4th
1775,Whip-tailed wallaby,Moland
1776,White-fronted capuchin,Crescent Oaks
1777,Striped dolphin,American Ash
1778,"Snake, eastern indigo",Autumn Leaf
1779,Fringe-eared oryx,La Follette
1780,Toddy cat,Redwing
1781,Kafue flats lechwe,Valley Edge
1782,African wild dog,Shopko
1783,"Armadillo, giant",Barby
1784,"Barbet, levaillant's",Sutherland
1785,Blue fox,Muir
1786,"Gull, dusky",Westport
1787,"Butterfly, canadian tiger swallowtail",Meadow Ridge
